Pclass,Sex,Age,Fare,actual_data,predicted_data
3,1,35.0,7.125,0,0
3,1,20.0,7.05,0,0
3,1,26.0,7.8958,0,0
1,0,58.0,146.5208,1,1
1,0,35.0,83.475,1,1
3,1,19.0,7.8958,0,0
3,1,25.0,7.65,0,0
2,1,47.0,15.0,0,0
3,1,32.0,7.8542,1,0
3,1,22.0,7.8958,0,0
2,1,25.0,13.0,0,0
2,0,3.0,41.5792,1,1
2,0,24.0,27.0,1,1
1,1,28.0,26.0,0,0
2,1,29.0,10.5,0,0
2,1,28.0,0.0,0,0
3,1,28.0,25.4667,0,0
3,1,4.0,29.125,0,0
3,0,25.0,7.925,0,1
3,1,28.0,7.225,0,0
3,1,28.0,16.1,0,0
2,1,36.0,12.875,0,0
2,0,36.0,26.0,1,1
3,1,25.0,7.775,0,1
3,1,11.0,18.7875,0,1
3,1,20.0,9.8458,0,0
3,1,20.0,7.925,0,1
1,1,4.0,81.8583,1,1
2,1,52.0,13.5,0,0
1,0,38.0,71.2833,1,1
1,0,35.0,52.0,1,1
2,1,28.0,0.0,0,0
3,0,10.0,24.15,0,1
3,1,37.0,7.925,0,0
3,0,15.0,8.0292,1,1
3,1,28.0,7.775,0,1
3,0,24.0,8.85,0,0
1,1,19.0,263.0,0,0
3,1,28.0,7.75,0,0
3,1,32.0,7.925,1,0
3,1,40.5,14.5,0,0
2,1,31.0,26.25,0,1
3,1,28.0,7.8958,0,0
3,0,17.0,7.925,1,1
1,1,48.0,52.0,1,0
1,1,29.0,30.0,0,1
3,1,21.0,7.775,0,1
3,1,21.0,7.925,0,0
1,0,16.0,57.9792,1,1
1,1,46.0,61.175,0,1
1,1,37.0,52.5542,1,0
2,1,42.0,27.0,0,0
3,1,35.0,7.8958,0,0
1,1,49.0,56.9292,1,0
2,1,3.0,18.75,1,1
1,0,17.0,108.9,1,1
3,1,2.0,29.125,0,0
3,0,28.0,7.2292,1,1
1,0,50.0,247.5208,1,1
3,1,24.0,24.15,0,0
3,1,25.0,7.7417,0,0
1,0,49.0,76.7292,1,1
3,0,28.0,7.75,0,1
3,0,26.0,16.1,0,1
3,1,74.0,7.775,0,0
3,1,18.0,8.3,0,0
2,1,29.0,27.7208,0,0
3,1,30.5,8.05,0,0
3,1,34.0,8.05,0,0
2,0,30.0,21.0,1,1
2,1,16.0,26.0,0,0
3,1,42.0,7.55,0,0
3,1,25.0,0.0,1,0
3,1,61.0,6.2375,0,0
2,0,32.0,13.0,1,1
3,1,16.0,9.2167,0,0
3,1,23.0,7.8542,0,0
3,1,3.0,31.3875,1,0
1,1,28.0,27.7208,0,0
3,1,34.5,6.4375,0,0
3,1,28.0,15.85,0,0
3,1,28.0,7.75,0,0
2,1,21.0,73.5,0,0
1,1,0.92,151.55,1,1
2,0,24.0,13.0,1,0
2,1,34.0,13.0,0,0
1,0,39.0,110.8833,1,1
1,0,50.0,28.7125,0,1
2,1,30.0,13.0,0,0
2,0,18.0,13.0,1,1
